,id,Name,linktext,Tag and ID,Tag and Class,Tag and Attribute,"Tag, Class, and attribute",Inner Text,xpath1,xpath2,xpath3,xpath4(absolute xpath),xpath5(by suing preceding sibling),xpath5(by suing following sibling),xpath(by using text),xpath(by using contains),xpath(by using start with),xpath by using parent ,xpath by using child,xpath by using ancestor,xpath by using descendant,xpath using following,xpath using preceding,xpath using and,xpath using or
firstname,input-firstname,firstname,NA,input#input-firstname,input.form-control(5),input[placeholder='First Name'],input.form-control[placeholder='First Name'],NA,//input[@placeholder='First Name'],//input[@name='firstname'],//input[@id='input-firstname'],/html/body/main/div[2]/div/div/form/fieldset[1]/div[1]/div/input,//div[@class='row mb-3 required']/preceding-sibling::div[2]/div/input,,NA,,"//input[starts-with(@id,""input-firstname"")]","//input[starts-with(@id,""input-firstname"")]/parent::div",/html/body/main/div[2]/div/div/form/fieldset[1]/div[1]/div/child::input,//input[@id='input-firstname']/ancestor::div,/html/body/main/div[2]/div/div/form/fieldset[1]/div[1]/div/descendant::input,//div[@class='row mb-3 required']/preceding::div[2]/div/input,,//input[@id='input-firstname' and @name='firstname'],//input[@id='input-firstname' or @name='firstname']
lastname,input-lastname,lastname,NA,input#input-lastname,input.form-control(5),input[placeholder='Last Name'],input.form-control[placeholder='Last Name'],NA,,,,/html/body/div[2]/div/div/form/fieldset[1]/div[1]/div/div/input/label./input,,,,,,,,,,,,,
email,input-email,email,NA,input#input-email,input.form-control(5),input[placeholder='E-mail'],input.form-control[placeholder='E-Mail'],NA,,,,/html/body/div[2]/div/div/form/fieldset[1]/div[1]/div/div/label./input/div/label/div/input,,,,,,,,,,,,,
password,input-password,password,NA,input#input-password,input.form-control(5),input[placeholder='Password'],input.form-control[placeholder='Password'],NA,,,,/html/body/div[2]/div/div/form/fieldset[1]/div[1]/div/div/label./input/div/label/div/input/fieldset[1]/div/label/div/input,,,,,,,,,,,,,
newsletter,input-newsletter,newsletter,NA,input#input-newsletter,input.form-control(5),input[placeholder='news letter'],input.form-control[name='newsletter'],NA,,,,//input[@name='newsletter']/following-sibling::input,,,,,,,,,,,,,
submit,NA,continue,NA,NA,button.btn.btn.primary,button[type='submit'],button.btn.btn-primary[type='submit'],Continue,,,,,,,//button[text()='Continue'],"//button[contains(text(),'Continue')]",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,http://www.automationpractice.pl/index.php?controller=authentication&back=my-account#account-creation,www.abc.com,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,id,Name,linktext,Tag and ID,Tag and Class,Tag and Attribute,"Tag, Class, and attribute",Inner Text,xpath1,xpath2,xpath3,xpath4(absolute xpath),xpath5(by suing preceding sibling),xpath5(by suing following sibling),xpath(by using text),xpath(by using contains),xpath(by using start with),xpath by using parent ,xpath by using child,xpath by using ancestor,xpath by using descendant,xpath using following,xpath using preceding,xpath using and,xpath using or
Mr,,,NA,,,,,,,,,,,,,,,,,,,,,,
Mrs,,,,,,,,,,,,,,,,,,,,,,,,,
Firstname,,,,,,,,,,,,,,,,,,,,,,,,,
